hash,category,movie_name,n_trials,n_frames_clip
bfUSk4KvUjS6Mqdh2KjQ,sports1m,1 of 2 - 2011 ICup Red Rock Desert Rampage XC Mountain Bike Race,1,75
R+f+dA2RnuPb19efyu6T,sports1m,2011 July 2 ICUP Dutch Hollow XC Mountain Bike Race,1,75
FJEkKeXLZfbf64dGngjK,sports1m,2011 August 2 Midweek MTB Solitude XC Mountain Bike Race,1,75
uNwfF+EZOr144RRkDUGK,sports1m,2012 January 28 Frozen Hog Snow Mountain Bike Race,1,75
I9OysujwTT3jIxI8pMQE,sports1m,2011 Boulder Cup Cyclocross Elite Women,1,75
wcm43mWBMFiCRh/hlPdM,sports1m,2009 Skijoring Event in Whitefish Montana (part 1),1,75
af6KomXs61q4lztammbM,sports1m,2010 Nutmeg State Games Cat 3s - SprinterDellaCasa Helmet Cam,1,75
0YlnAHKt3hOKDL2RjBZa,sports1m,2009 Cyclocross Crusade Single Speed World Championship,1,75
jhOGn+Ws+Yuf4Jwmzh6V,sports1m,2009 Skijoring Event in Whitefish Montana (part 7),1,75
ssnQevM8kBDSJs5GkjWc,sports1m,2011 July 23 ICUP Solitude XC Mountain Bike Race,1,75
Q8MC3613NCVLbbmZkOIx,sports1m,1984 Winter Olympics - Mens Luge 1st Run - Part 2,1,75
eZ4R/UJtW5HeOzURVjYy,sports1m,2012 USA Basketball vs The Dream Team 1992 USA Basketball - NBA 2K13,1,75
9aooM4dn5HGr5uUzct/R,sports1m,2011 June 25 USCS Round Valley XC Mountain Bike Race,1,75
J/r5mjenqa8mxfxQ2zeu,sports1m,2011 July 6 Weekly Race Series Sundance XC Mountain Bike Race,1,75
2xq20yShy5s+lJZQtcOY,sports1m,2-I (Iain Quayle) Takes on U14 Alpine Ski Racing (2012 - 2013 Season),1,75
ZKbQBxkrIXK3SiMkGJtJ,sports1m,2011 August 2 Midweek MTB Solitude XC Mountain Bike Race,1,75
w30DPv4wr/C2Tifu9US2,sports1m,2010 Hammerhead 100 Endurance Race - Ocala Florida,1,75
7PHkCH8XdmiOIf260Fco,sports1m,2011 June 14 Midweek MTB Corner Canyon XC Mountain Bike Race,1,75
UjPe+/WHi0iu8zNGnL5/,sports1m,2011 June 15 Weekly Race Series Soldier Hollow XC Mountain Bike Race,1,75
yegjmbdmYhYopbqClFm4,sports1m,2011 Frozen Hog Mountain Bike Race,1,75
Cr2vd+HYaJEIWTTLJdES,sports1m,2011 July 20 Weekly Race Series Sundance XC Mountain Bike Race,1,75
okYfMyn8qc2ClgvpS7WG,sports1m,2009 Skijoring Event in Whitefish Montana (part 1),1,75
va/TuUDeLdBd9TW2jzW+,sports1m,2010 Olympic Trials - Aerials,1,75
O6PSxUXoz3J6GqUZE4JQ,sports1m,2011 June 25 USCS Round Valley XC Mountain Bike Race,1,75
1o+ma3JacvkXu4+mtEH6,sports1m,2011 June 15 Weekly Race Series Soldier Hollow XC Mountain Bike Race,1,75
80M5Bf9xtCA6BIp6INfq,sports1m,2012 May 28 ICUP 7th Annual Stan Crane Memorial XC Mountain Bike Race,1,75
2TCVr6LkF0jwPhSXFmfa,sports1m,2012 January 28 Frozen Hog Snow Mountain Bike Race,1,75
mvaheDVJbLsRDS6wReXk,sports1m,2011 July 20 Weekly Race Series Sundance XC Mountain Bike Race,1,75
caGp7huqIEslJg3DFuGT,sports1m,2011 June 15 Weekly Race Series Soldier Hollow XC Mountain Bike Race,1,75
qiQMzdsbMODgaeh0GiqF,sports1m,2011 June 14 Midweek MTB Corner Canyon XC Mountain Bike Race,1,75
jvXwLAikOjcAmWycIpnE,sports1m,2012 May 28 ICUP 7th Annual Stan Crane Memorial XC Mountain Bike Race,1,75
UkgSubYcmMKdSdbNimXs,sports1m,2012 May 28 ICUP 7th Annual Stan Crane Memorial XC Mountain Bike Race,1,75
qsG8YRRqq33TQU5ufjRo,sports1m,2012 August 14 Midweek MTB Solitude XC Mountain Bike Race,1,75
iuejPxsZoRJCIjTYvvoq,sports1m,2011 August 2 Midweek MTB Solitude XC Mountain Bike Race,1,75
4SdKrbLQTn/QozhE1JPz,sports1m,2012 May 28 ICUP 7th Annual Stan Crane Memorial XC Mountain Bike Race,1,75
CYJVy2kw9m2yWiUunbkN,sports1m,2012 USCS Lambert Park XC Mountain Bike Race (Stabilized),1,75
aei0Us2PTnOWyov8EOwa,sports1m,2012 Mountain Bike World Cup Mens Cross Country,1,75
bfFecZY5+ecIrHrqSeH1,sports1m,2009 02 15 Mason Dixon James Buchanon Isaiah  BrooksTYW match 3 vs Catoctin,1,75
W/7bOfNCtt1fgPyVu+BX,sports1m,1 of 5 - 2011 True Grit Epic Endurance Mountain Bike Race,1,75
BjuBzw0a3NQ/QgGM+N+s,sports1m,2012 January 28 Frozen Hog Snow Mountain Bike Race,1,75
Zyu+EwW79s874tVaVrIb,sports1m,1 of 7 - 2010 ICup Utah Open State Championship XC Mountain Bike Race,1,75
1dV0PAu7/swIfQ1QlzpI,sports1m,1 of 5 - 2011 True Grit Epic Endurance Mountain Bike Race,1,75
pX3XPzEVaiIPA3FhUMxp,sports1m,2011 June 28 Midweek MTB Round Valley XC Mountain Bike Race,1,75
boU4A/pj/NFhhU6ovlZH,sports1m,2012 January 28 Frozen Hog Snow Mountain Bike Race,1,75
61L6+akKAdCvq0eKQ33A,sports1m,1 of 2 - 2011 ICup Red Rock Desert Rampage XC Mountain Bike Race,1,75
or5rBeA7KLzGUqXGyE18,sports1m,2011 June 25 USCS Round Valley XC Mountain Bike Race,1,75
JLVdrj/EMhVQsC41z0Pe,sports1m,2011 July 6 Weekly Race Series Sundance XC Mountain Bike Race,1,75
HziZ4nIpFGpTJrdeBz1Q,sports1m,2012 January 28 Frozen Hog Snow Mountain Bike Race,1,75
9tYf8hxWdL7YsnPa8ufe,sports1m,1-Piece Crank Replacement BBT Bearing Repack on Cruiser Bike,1,75
GjCMo2GkJp6y5vricadg,Rendered,americandiner_005-1-5-70-0_54.165.28.255,10,75
KXdTNAGMo1gCWz2Ge8zr,Rendered,run82-ancientTomb-1-0,10,75
zlQ935qW1A8YOiseS7gY,Rendered,medievalsewer_132-1-6-70-0_54.210.37.143,2,75
EKhyHmLj04EcBoR25T/e,Rendered,americandiner_079-1-5-70-0_184.73.123.94,2,75
